#,Title,Authors,Barcode,Call No,ISBN,Status,Patron Status,Hold Status
6059,"The magical garden of Claude Monet","Anholt, Laurence",33124046425509,E ANH,764138553,In,0,No Hold
6060,"The magical worlds of Harry Potter : a treasury of myths, legends, and fascinating facts","Colbert, David",23124003307767,823.914 COL,073942095,Lost/Missing,0,No Hold
6061,"Magician : apprentice","Oeming, Michael Avon",33124046423306,F FEI,07851258761,In,0,No Hold
6062,"The magician of Auschwitz","Kacer, Kathy",33124098987976,940.5318 KAC,1927583462,In,0,No Hold
6063,"The magician's nephew","Lewis, Clive Staples",33124017955666,F LEW,9780007126088,In,0,No Hold
6064,"The magician's secret","Hyman, Zachary",33124112462147,E HYM,9781770498945,In,0,No Hold
6065,"The magnificent Ambersons","Tarkington, Booth",33124027478634,F TAR,0253358752,In,0,No Hold
6066,"Magyk","Sage, Angie",33124074242222,F SAG,60760834,In,0,No Hold
6067,"Magyk ; : The darke toad","Sage, Angie",33124096017172,F SAG,006223692,In,0,No Hold
6068,"Mahmoud Ahmadinejad : President of Iran","Broyles, Matthew",33124049735888,955.05 AHM,9781404219007,In,0,No Hold
6069,"Main Street","Lewis, Sinclair",33124070117493,F LEW,9780553214512,In,0,No Hold
6070,"Major battles of the War of 1812","Clarke, Gordon",33124082006619,973.52 CLA,9780778779605,Lost/Missing,0,No Hold
6071,"Make : action : movement, light, and sound with Arduino and Raspberry Pi","Monk, Simon",33124101580107,621.381 MON,9781457187797,In,0,No Hold
6072,"Make : bluetooth : bluetooth LE projects for Arduino, Raspberry Pi, and smarthphones","Allan, Alasdair",33124101580438,621.381 ALL,9781457187094,In,0,No Hold
6073,"Make : bluetooth : bluetooth LE projects for Arduino, Raspberry Pi, and smarthphones","Allan, Alasdair",33124096020093,621.381 ALL,9781457187094,In,0,No Hold
6074,"Make : electronics","Platt, Charles",33124101580271,621.381 PLA,9781680450262,In,0,No Hold
6075,"Make: FPGAs : turning software into hardware with eight fun and easy DIY projects","Romano, David",33124101580396,621.395 ROM,9781457187858,In,0,No Hold
6076,"Make: more electronics : 36 illustrated experiments that explain logic chips, amplifiers, sensors, and more","Platt, Charles",33124101580065,621.381 PLA,9781449344047,In,0,No Hold
6077,"Make paper inventions : machines that move, drawings that light up, and wearables and structures you can cut, fold, and roll","Ceceri, Kathy",33124101580057,745.54 CEC,9781457187520,In,0,No Hold
6078,"Make : sensors","Karvinen, Tero",33124101580321,681.25 KAR,9781449368104,In,0,No Hold
6079,"Make wearable and flexible electronics : tools and techniques for prototyping wearable electronics","Hartman, Kate",33124101580099,004.167 HAR,9781449336516,In,0,No Hold
6080,"Make your point : creating powerful presentations","Truesdell, Ann",33124092797330,808.51 TRU,9781624310195,In,0,No Hold
